Name,Points,Position,School
Drew Eilers,1.0,WR/DL,Gladbrook-Reinbeck
Drew Lappe,0.0,WR/CB,Bishop Garrigan
Drew Stanek,0.0,RB/LB,Gladbrook-Reinbeck
Drew Urbanek,1.04,QB/CB,Tripoli
Dreyson Morgan,0.0,WR/DB,Gladbrook-Reinbeck
Dylan Marquart,33.54,QB/DB,Dunkerton
Easton Hudnut,0.0,WR/DB,Montezuma
Edde Gonzalez,10.2,RB/LB,West Central
Edward Miller,6.8,TE/DE,Audubon
Eli Miller,-0.1,RB/LB,Winfield-Mt Union
Eli Riedesel,0.0,OG/DE,Calamus-Wheatland
Eli Schmidt,0.0,RB/S,Clarksville
Elliott Ward,9.3,RB/LB,Sidney
Emmett Burke,0.0,WR/DB,Lone Tree
Emmett Snyder,13.6,RB/S,Glidden-Ralston
Eric Wilson,0.0,WR/DB,Exira-EHK
Ethan Bauer,3.1,RB/DB,Coon Rapids-Bayard
Ethan Baxter,0.0,RB/LB,Griswold
Ethan Bockelman,0.0,QB/DB,Lone Tree
Ethan Bridgewater,0.0,RB/LB,BGM
Ethan Marso,0.0,FB/LB,Bishop Garrigan
Ethan Schaufenbuel,0.0,WR/CB,Tripoli
Ethan Swisher,0.0,QB/DB,St. Edmond
Evan Alt,73.4,RB/LB,Audubon
Evan Lorenzen,19.7,RB/DB,Northwood-Kensett
Evan Ten Eyck,0.0,TE,Boyer Valley
Ezekiel Konkler,0.0,WR/CB,Audubon
Fischer Buffington,14.5,RB/DE,East Union
Gabe Funk,44.08,QB/DB,Lenox
Gabe Johnson,9.5,QB/LB,Sidney
Gabe Meaney,1.4,TE/DE,Janesville
Gage Samo,2.2,WR/CB,WACO
Gannon Short,0.0,RB/DB,Colo-Nesco
Garrett Watts,20.1,WR/DB,Montezuma
Garrison Motsinger,23.8,RB/S,Bedford
Gavin Clark,0.0,RB/LB,Twin Cedars
Gavin Ford,-0.1,QB/LB,Stanton
Gavin Menke-Bailey,31.44,QB/LB,New London
Gavyn Thordarson,0.0,RB/DE,Melcher-Dallas
Gio Cruz,0.1,RB/DB,Lenox
Graham Godsey,2.6,RB/LB,Bedford
Grant Finck,23.8,RB/LB,Dunkerton
Grant Galles,19.3,WR/DB,St. Edmond
Grant Whitehead,20.52,QB/DB,Sidney
Gunnar Smith,0.0,QB,Riceville
Guyson Lyman,0.0,TE/DE,Newell-Fonda
Harley Molina,12.6,WR/LB,Ar-We-Va
Hayden Hicks,0.9,TE/LB,Boyer Valley
Hayden Jones,0.0,TE/LB,Griswold
Hayden Loftsgard,18.0,WR/CB,Tripoli
Holden Jensen,0.0,WR/CB,Griswold
Holden Roberts,0.0,TE/DE,Twin Cedars
Hudson Clark,0.0,WR/DB,Gladbrook-Reinbeck
Hunter DeGard,0.0,OG/DE,Melcher-Dallas
Hunter Hardin,1.3,RB/LB,Colo-Nesco
Hunter Hughes,2.9,CB/WR,WACO
Ian Smith,11.1,TE/LB,Iowa Valley
Isaac Clark,4.84,QB/LB,Gladbrook-Reinbeck
Isaac Hill,2.3,OL/DL,Springville
Isaac Loan,0.0,QB/DB,Central Elkader
Isaac Messamaker,0.0,FB/LB,Moravia
Isaac Murphy,39.6,RB/S,GTRA
Isaac Rich,0.0,CB/WR,WACO
Isaiah Malm,0.0,S/WR,GTRA
Israel Lemley,0.0,WR/DB,New London
J.D. Kruse,24.9,RB/DE,Turkey Valley
JT Laufersweiler,22.5,QB/DB,St. Edmond
Jabari Woodbury,27.6,,GMG
Jace March,0.0,RB/CB,Springville
Jack Adams,13.3,QB,Riceville
Jack Anderson,0.4,RB/DL,Baxter
Jack Angell,0.0,QB/DB,Colo-Nesco
Jack Follmann,5.4,TE/LB,CAM
Jack Gordon,3.1,WR/DL,East Mills
Jack Hogan,0.0,,Don Bosco
Jack Osborne,0.0,QB/DB,English Valleys
Jack Scherf,0.0,WR/DB,Central Elkader
Jackson Embree,12.4,SL/LB,East Mills
Jackson McDanel,35.3,RB/LB,Moravia
Jackson Schulte,0.0,RB/LB,Kee
Jackson Stansberry,1.6,WR/DB,Siouxland Christian
Jacksyn Hogrefe,0.0,RB/DB,Newell-Fonda
Jacob Berens,16.0,RB/LB,Boyer Valley
Jacob Martin,24.7,RB/LB,Stanton
Jacob Morey,13.2,OL/DL,Tripoli
Jacob Snyder,0.0,OL/DL,Dunkerton
Jader Sanchez,0.0,RB/DB,Lone Tree
Jaedon Koppman,0.0,,Don Bosco
Jake Edwards,1.8,QB/S,Winfield-Mt Union
Jake Schilling,0.3,OG,Edgewood-Colesburg
Jakob Koopman,3.3,SL/LB,St. Edmond
James Buhlman,2.1,RB/LB,Easton Valley
Jameson Kilworth,39.88,QB/DB,Exira-EHK
Jamison Ewing,49.4,WR/CB,Southeast Warren
Jamison Martin,23.3,RB/DB,West Harrison
Jarod Reams,0.9,RB/DB,Kee
Jaxon Darby,0.0,TE/CB,Murray
Jaxon Larson,0.0,,Don Bosco
Jaxson Schnell,0.0,LB/WR,GTRA
Jayden Butler,0.4,TE/DE,Janesville
Jayden Hanson,20.88,QB/DB,Central City
Jayden Smith,1.0,OG/DE,HLV
Jed Bielenberg,10.7,DE/WR,Siouxland Christian
Jed Tyler,1.0,QB/DB,West Central
Jeffery Gerber,0.0,RB/LB,North Iowa
Jeremiah Lynam,5.6,DB/WR,Siouxland Christian
Jeremy Reineke,0.0,OL/LB,Belle Plaine
Jesse Myhr,5.5,FB/DE,Moravia
Jiri Brodigan,0.0,WR/LB,East Mills
Joe Freund,0.0,RB/LB,Woodbine
Joe Koehler,0.0,FB/DE,Rockford
John Deemer,0.0,RB/LB,Bedford
John McLaughlin,0.0,WR/CB,WACO
John Stauffer,0.0,TE/LB,Clarksville
Johnathan Riesselman,0.0,WR/DB,Ar-We-Va
Johnny Adams,1.0,WR,Riceville
Johnny Milburn,-0.6,QB/DB,Southeast Warren
Johnny Resh,1.1,TE/DL,Stanton
Jordan Boehde,11.6,RB/DB,Easton Valley
Jordan Cota,4.7,TE/DE,Kee
Jordan Goad,8.1,QB/CB,Springville
Jordan Martin-England,4.6,RB/LB,Lenox
Josef Dvorak,17.1,RB/DB,Collins-Maxwell
Josh Lindsey,0.0,WR/S,Central City
